Fabricante;Descrição;Preço Distribuidor s/ IPI;Preço Distribuidor c/ IPI;Preço Unit. Final s/ IPI;Preço Final c/ IPI
5L500;BATERIA DE LITIO NAO RECARREGAVEL;2.288,58;2.511,72;2.542,87;2.790,80
3L960;BATERIA DE NIMH INTERNA RECARREGAVEL;2.379,44;2.611,44;2.643,83;2.901,60
AM1000;BATERIA LIMNO2 12 VOLT;4.202,00;4.611,70;4.668,89;5.124,11
5931-A;BATERIA NICD 12 VOLT 1.9 AH;2.165,87;2.377,04;2.406,52;2.641,15
CA20-006;ADAPTADOR TUBO ADT PDT CAPNOGRAFIA TIPO T;21,46;21,74;26,82;27,17
CA10-001;ADAPTADOR TUBO ADULTO CAPNOGRAFIA MAIN-STREAM;67,05;67,93;67,05;67,93
106260;ADAPTADOR TUBO INFANTIL CAPNOGRAFIA MAINSTREAM;139,15;140,96;139,15;140,96
CA10-002;ADAPTADOR TUBO INFANTIL/NEONATAL CAPNOGRAFIA MAINSTREAM;43,51;44,08;43,51;44,08
XS-04479;ADAPTADOR TUBO NEONATAL 3.0 CAPNOGRAFIA;50,00;50,65;50,00;50,65
XS-04480;ADAPTADOR TUBO NEONATAL 3.5 CAPNOGRAFIA;50,00;50,65;50,00;50,65
